API Name,Linux On Demand cost,RHEL On Demand cost,SLES On Demand cost,Windows On Demand cost,Windows SQL Web On Demand cost,Windows SQL Std On Demand cost,Windows SQL Ent On Demand cost,Linux SQL Web On Demand cost,Linux SQL Std On Demand cost,Linux SQL Ent On Demand cost
a1.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
a1.4xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
a1.large,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
a1.medium,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
a1.metal,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
a1.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
c1.medium,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
c1.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
c3.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
c3.4xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
c3.8xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
c3.large,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
c3.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
c4.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
c4.4xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
c4.8xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
c4.large,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
c4.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
c5.12xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
c5.18xlarge,3.672,3.802,3.772,6.984,8.201,15.624,33.984,4.889,12.312,30.672
c5.24xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
c5.2xlarge,0.408,0.538,0.508,0.776,0.911,1.736,3.776,0.543,1.368,3.408
c5.4xlarge,0.816,0.946,0.916,1.552,1.822,3.472,7.552,1.086,2.736,6.816
c5.9xlarge,1.836,1.966,1.936,3.492,4.1,7.812,16.992,2.444,6.156,15.336
c5.large,0.102,0.162,0.202,0.194,0.262,0.674,unavailable,0.17,0.582,unavailable
c5.metal,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
c5.xlarge,0.204,0.264,0.304,0.388,0.456,0.868,1.888,0.272,0.684,1.704
c5d.18xlarge,4.176,4.306,4.276,7.488,8.705,16.128,34.488,5.393,12.816,31.176
c5d.2xlarge,0.464,0.594,0.564,0.832,0.967,1.792,3.832,0.599,1.424,3.464
c5d.4xlarge,0.928,1.058,1.028,1.664,1.934,3.584,7.664,1.198,2.848,6.928
c5d.9xlarge,2.088,2.218,2.188,3.744,4.352,8.064,17.244,2.696,6.408,15.588
c5d.large,0.116,0.176,0.216,0.208,0.276,0.688,unavailable,0.184,0.596,unavailable
c5d.xlarge,0.232,0.292,0.332,0.416,0.484,0.896,1.916,0.3,0.712,1.732
c5n.18xlarge,4.68,4.81,4.83,7.992,9.209,16.632,34.992,5.897,13.32,31.68
c5n.2xlarge,0.52,0.65,0.67,0.888,1.023,1.848,3.888,0.655,1.48,3.52
c5n.4xlarge,1.04,1.17,1.19,1.776,2.046,3.696,7.776,1.31,2.96,7.04
c5n.9xlarge,2.34,2.47,2.49,3.996,4.604,8.316,17.496,2.948,6.66,15.84
c5n.large,0.13,0.19,0.193,0.222,0.29,0.702,unavailable,0.198,0.61,unavailable
c5n.metal,4.68,4.81,4.83,7.992,9.209,16.632,34.992,5.897,13.32,31.68
c5n.xlarge,0.26,0.32,0.385,0.444,0.512,0.924,1.944,0.328,0.74,1.76
cc2.8xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
cr1.8xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
d2.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
d2.4xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
d2.8xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
d2.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
f1.16xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
f1.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
f1.4xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
g2.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
g2.8xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
g3.16xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
g3.4xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
g3.8xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
g3s.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
g4dn.12xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
g4dn.16xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
g4dn.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
g4dn.4xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
g4dn.8xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
g4dn.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
h1.16xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
h1.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
h1.4xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
h1.8xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
hs1.8xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
i2.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
i2.4xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
i2.8xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
i2.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
i3.16xlarge,6.016,6.146,6.116,8.96,10.087,16.64,32.96,7.098,13.696,30.016
i3.2xlarge,0.752,0.882,0.852,1.12,1.261,2.08,4.12,0.887,1.712,3.752
i3.4xlarge,1.504,1.634,1.604,2.24,2.522,4.16,8.24,1.774,3.424,7.504
i3.8xlarge,3.008,3.138,3.108,4.48,5.044,8.32,16.48,3.549,6.848,15.008
i3.large,0.188,0.248,0.288,0.28,0.351,0.76,unavailable,0.256,0.668,unavailable
i3.metal,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
i3.xlarge,0.376,0.436,0.476,0.56,0.631,1.04,2.06,0.444,0.856,1.876
i3en.12xlarge,6.552,6.682,6.702,8.76,9.571,14.52,26.76,7.363,12.312,24.552
i3en.24xlarge,13.104,13.234,13.254,17.52,19.142,29.04,53.52,14.726,24.624,49.104
i3en.2xlarge,1.092,1.222,1.242,1.46,1.595,2.42,4.46,1.227,2.052,4.092
i3en.3xlarge,1.638,1.768,1.788,2.19,2.393,3.63,6.69,1.841,3.078,6.138
i3en.6xlarge,3.276,3.406,3.426,4.38,4.786,7.26,13.38,3.682,6.156,12.276
i3en.large,0.273,0.333,0.336,0.365,0.433,0.845,unavailable,0.341,0.753,unavailable
i3en.metal,13.104,13.234,13.254,17.52,19.142,29.04,53.52,14.726,24.624,49.104
i3en.xlarge,0.546,0.606,0.671,0.73,0.798,1.21,2.23,0.614,1.026,2.046
m1.large,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m1.medium,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m1.small,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m1.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m2.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m2.4xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m2.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m3.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m3.large,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m3.medium,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m3.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m4.10xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m4.16xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m4.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m4.4xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m4.large,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m4.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5.12xlarge,2.904,3.034,3.004,5.112,5.923,10.872,23.112,3.715,8.664,20.904
m5.16xlarge,3.872,4.002,3.972,6.816,7.898,14.496,30.816,4.954,11.552,27.872
m5.24xlarge,5.808,5.938,5.908,10.224,11.846,21.744,46.224,7.43,17.328,41.808
m5.2xlarge,0.484,0.614,0.584,0.852,0.987,1.812,3.852,0.619,1.444,3.484
m5.4xlarge,0.968,1.098,1.068,1.704,1.974,3.624,7.704,1.238,2.888,6.968
m5.8xlarge,1.936,2.066,2.036,3.408,3.949,7.248,15.408,2.477,5.776,13.936
m5.large,0.121,0.181,0.221,0.213,0.281,0.693,unavailable,0.189,0.601,unavailable
m5.metal,5.808,5.938,5.908,10.224,11.846,21.744,46.224,7.43,17.328,41.808
m5.xlarge,0.242,0.302,0.342,0.426,0.494,0.906,1.926,0.31,0.722,1.742
m5a.12xlarge,2.616,2.746,2.766,4.824,5.635,10.584,22.824,3.427,8.376,20.616
m5a.16xlarge,3.488,3.618,3.638,6.432,7.514,14.112,30.432,4.57,11.168,27.488
m5a.24xlarge,5.232,5.362,5.382,9.648,11.27,21.168,45.648,6.854,16.752,41.232
m5a.2xlarge,0.436,0.566,0.586,0.804,0.939,1.764,3.804,0.571,1.396,3.436
m5a.4xlarge,0.872,1.002,1.022,1.608,1.878,3.528,7.608,1.142,2.792,6.872
m5a.8xlarge,1.744,1.874,1.894,3.216,3.757,7.056,15.216,2.285,5.584,13.744
m5a.large,0.109,0.169,0.172,0.201,0.269,0.681,unavailable,0.177,0.589,unavailable
m5a.xlarge,0.218,0.278,0.343,0.402,0.47,0.882,1.902,0.286,0.698,1.718
m5ad.12xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5ad.24xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5ad.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5ad.4xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5ad.large,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5ad.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5d.12xlarge,3.432,3.562,3.532,5.64,6.451,11.4,23.64,4.243,9.192,21.432
m5d.16xlarge,4.576,4.706,4.676,7.52,8.602,15.2,31.52,5.658,12.256,28.576
m5d.24xlarge,6.864,6.994,6.964,11.28,12.902,22.8,47.28,8.486,18.384,42.864
m5d.2xlarge,0.572,0.702,0.672,0.94,1.075,1.9,3.94,0.707,1.532,3.572
m5d.4xlarge,1.144,1.274,1.244,1.88,2.15,3.8,7.88,1.414,3.064,7.144
m5d.8xlarge,2.288,2.418,2.388,3.76,4.301,7.6,15.76,2.829,6.128,14.288
m5d.large,0.143,0.203,0.243,0.235,0.303,0.715,unavailable,0.211,0.623,unavailable
m5d.metal,6.864,6.994,6.964,11.28,12.902,22.8,47.28,8.486,18.384,42.864
